"1","Product 1","Description for product 1. This is a large import test.","36","0","","75.38","67.84","[""test"",""bulk"",""import""]","1","product-1-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"2","Product 2","Description for product 2. This is a large import test.","32","0","","45.4","40.86","[""test"",""bulk"",""import""]","2","product-2-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"3","Product 3","Description for product 3. This is a large import test.","93","0","","16.45","14.81","[""test"",""bulk"",""import""]","5","product-3-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"5","Product 5","Description for product 5. This is a large import test.","38","0","","73.96","66.56","[""test"",""bulk"",""import""]","3","product-5-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"6","Product 6","Description for product 6. This is a large import test.","68","0","","87.95","79.16","[""test"",""bulk"",""import""]","5","product-6-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"7","Product 7","Description for product 7. This is a large import test.","59","0","","56.86","51.17","[""test"",""bulk"",""import""]","5","product-7-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"8","Product 8","Description for product 8. This is a large import test.","85","0","","97.72","87.95","[""test"",""bulk"",""import""]","4","product-8-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"9","Product 9","Description for product 9. This is a large import test.","7","0","","53.3","47.97","[""test"",""bulk"",""import""]","1","product-9-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"10","Product 10","Description for product 10. This is a large import test.","70","0","","31.98","28.78","[""test"",""bulk"",""import""]","1","product-10-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
"11","Product 11","Description for product 11. This is a large import test.","58","0","","10.14","9.13","[""test"",""bulk"",""import""]","2","product-11-1776144507","","TRUE","2026-06-11T10:15:10.000000Z","2026-06-11T10:15:10.000000Z"
